nom_dept,nom_station,code_station,nom_poll,valeur,unite,date_debut,x_l93,y_l93,longitude,latitude,date_formatee,Emplacement
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,20.3,ug.m-3,2023-11-25 13:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 13:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,14.6,ug.m-3,2023-11-25 14:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 14:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,8.4,ug.m-3,2023-11-25 01:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 01:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,9.4,ug.m-3,2023-11-25 05:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 05:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,18.0,ug.m-3,2023-11-25 06:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 06:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,35.9,ug.m-3,2023-11-25 07:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 07:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,42.4,ug.m-3,2023-11-25 08:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 08:00,Montpellier
HERAULT,Montpellier Nord - Périurbain,FR50204,O3,54.3,ug.m-3,2023-11-24 15:00:00,764573,6288813,3.8008213471808827,43.695402765711215,24/11/2023 15:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM2.5,3.1,ug.m-3,2023-11-25 14:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 14:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM2.5,1.9,ug.m-3,2023-11-25 13:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 13:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM2.5,1.9,ug.m-3,2023-11-25 14:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 14:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NO,12.3,ug.m-3,2023-11-25 14:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 14:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NO,4.4,ug.m-3,2023-11-25 14:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 14:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM10,6.6,ug.m-3,2023-11-25 15:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM10,5.2,ug.m-3,2023-11-25 15:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NOX,8.0,ug.m-3,2023-11-25 15:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,16.8,ug.m-3,2023-11-25 15:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 15:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,48.4,ug.m-3,2023-11-25 15:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 15:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,26.4,ug.m-3,2023-11-24 23:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 23:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,16.2,ug.m-3,2023-11-25 15:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,PM2.5,4.4,ug.m-3,2023-11-25 15:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Pompignane Trafic,FR50203,PM2.5,2.4,ug.m-3,2023-11-25 15:00:00,772566,6279407,3.8986133601594695,43.60999890885581,25/11/2023 15:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NO,8.4,ug.m-3,2023-11-25 13:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 13:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NO,17.0,ug.m-3,2023-11-25 15:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 15:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NO,5.1,ug.m-3,2023-11-25 15:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 15:00,Montpellier
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,12.9,ug.m-3,2023-11-24 16:00:00,771642,6277340,3.8868845925806363,43.59149596381382,24/11/2023 16:00,Montpellier
